_id,title,year,rating,director
32,Top Dog,1978,unrated,
21,Gold,2016,unrated,
33,X-Men: Apocalypse,2016,G,
17,Hacksaw R_idge,2016,G,
25,Independence Day: Resurgence,2016,unrated,
30,Assassin's Creed,2016,G,
53,Mother's Day,2016,unrated,
100,The Departed,2006,G,
12,H_idden Figures,2016,unrated,
22,Manchester by the Sea,2016,unrated,
36,Captain America: Civil War,2016,unrated,
34,Deadpool,2016,G,
10,Passengers,2016,G,
55,The Dark Knight,2008,G,
63,The Girl on the Train,2016,unrated,
59,Their Finest,2016,unrated,
29,Bad Moms,2016,unrated,
52,Underworld: Blood Wars,2016,unrated,
42,Moonlight,2016,unrated,
26,Paris pieds nus,2016,unrated,
1,Guardians of the Galaxy,2014,G,
11,Fantastic Beasts and Where to Find Them,2016,unrated,
14,Moana,2016,G,
35,Res_ident Evil: The Final Chapter,2016,unrated,
20,Arrival,2016,G,
31,Why Him?,2016,unrated,
51,Star Wars: Episode VII - The Force Awakens,2015,G,
2,Prometheus,2012,unrated,
57,Don't Breathe,2016,unrated,
3,Split,2016,unrated,
13,Rogue One,2016,unrated,
23,Hounds of Love,2016,unrated,
15,Colossal,2016,G,
18,Jason Bourne,2016,unrated,
38,Doctor Strange,2016,unrated,
46,Pirates of the Caribbean: On Stranger T_ides,2007,unrated,
37,Interstellar,2014,G,
39,The Magnificent Seven,2016,unrated,
41,Sausage Party,2016,unrated,
80,Ghostbusters,2016,unrated,
7,La La Land,2016,G,
70,Deepwater Horizon,2016,unrated,
4,Sing,2016,unrated,
24,Trolls,2016,unrated,
56,Silence,2016,G,
27,Bahubali: The Beginning,2015,G,
_design/e654aff2816dc36cee9c1c00041203ac74282421,,,,
67,Patriots Day,2016,unrated,
61,Batman v Superman: Dawn of Justice,2016,unrated,
16,The Secret Life of Pets,2016,unrated,
60,Sully,2016,unrated,
62,The Autopsy of Jane Doe,2016,unrated,
73,A Monster Calls,2016,unrated,
6,The Great Wall,2016,unrated,
64,Fifty Shades of Grey,2015,unrated,
65,The Prestige,2006,G,
43,Don't Fuck in the Woods,2016,unrated,
40,5- 25- 77,2016,unrated,
74,Collateral Beauty,2016,unrated,
45,Lowr_iders,2016,unrated,
28,Dead Awake,2016,unrated,
66,Kingsman: The Secret Service,2014,unrated,
72,Allied,2016,unrated,
44,The Founder,2016,unrated,
47,Miss Sloane,2016,unrated,
88,Avatar,2009,G,
76,Pirates of the Caribbean: At World's End,2016,unrated,
84,Gone Girl,2014,G,
5,Suic_ide Squad,2016,G,
77,The Avengers,2012,G,
50,The Last Face,2016,unrated,
58,Me Before You,2016,unrated,
_design/794d3a1331c7f3304fb7715d2e2b21095f9e1be9,,,,
49,Star Trek Beyond,2016,unrated,
54,John Wick,2014,unrated,
8,Mindhorn,2016,unrated,
71,The Promise,2016,unrated,
82,Captain Fantastic,2016,unrated,
68,Mad Max: Fury Road,2015,G,
90,The Accountant,2016,unrated,
48,Fallen,2016,unrated,
69,Wakefield,2016,unrated,
91,Prisoners,2013,G,
94,War Dogs,2016,unrated,
19,Lion,2016,G,
75,Zootopia,2016,G,
93,The Help,2007,G,
86,Jurassic World,2015,unrated,
89,The Hateful Eight,2015,G,
97,Kimi no na wa,2016,G,
87,Live by Night,2016,unrated,
98,The Vo_id,2016,unrated,
79,Pirates of the Caribbean: Dead Man's Chest,2006,unrated,
95,Avengers: Age of Ultron,2015,G,
99,Personal Shopper,2016,unrated,
78,Inglourious Basterds,2009,G,
85,Furious Seven,2015,unrated,
83,The Wolf of Wall Street,2013,G,
81,Inception,2010,G,
9,The Lost City of Z,2016,unrated,
92,Warcraft,2016,unrated,
96,The Nice Guys,2016,unrated,
